No. Acto;Procedencia;Tipo de Documento;Fecha Pagado;Valor Base Gravable;Impuesto de Registro;Intereses;Total Impuesto de Registro;Origen Pago
112;NOTARIA CUARTA;ESCRITURA;2018-04-10;10000000;100000;0;100000;Pago con codbarra
71;NOTARIA SEGUNDA;ESCRITURA;2018-04-05;5000000;50000;0;50000;Efecty
71;NOTARIA TERCERA;ESCRITURA;2018-04-02;28700000;287000;0;287000;Efecty
71;NOTARIA TERCERA;ESCRITURA;2018-04-09;5500000;55000;0;55000;Pago con codbarra
71;NOTARIA TERCERA;ESCRITURA;2018-04-09;5500000;55000;0;55000;Pago con codbarra
71;NOTARIA TERCERA;ESCRITURA;2018-04-09;5500000;55000;0;55000;Pago con codbarra
71;NOTARIA TERCERA;ESCRITURA;2018-04-09;5500000;55000;0;55000;Pago con codbarra
38;NOTARIA TERCERA;ESCRITURA;2018-04-04;0;104200;0;104200;Pago con codbarra
71;NOTARIA SEGUNDA;ESCRITURA;2018-04-03;30000000;300000;0;300000;Efecty
271;NOTARIA TERCERA;ESCRITURA;2018-04-03;5000000;50000;0;50000;SAES
63;NOTARIA CUARTA;ESCRITURA;2018-04-11;0;104200;0;104200;Pago con codbarra
71;NOTARIA CUARTA;ESCRITURA;2018-04-11;120100000;1201000;0;1201000;Efecty
23;NOTARIA SEGUNDA;ESCRITURA;2018-04-03;50000000;604200;0;604200;Efecty
38;NOTARIA SEGUNDA;ESCRITURA;2018-04-12;0;104200;0;104200;Pago con codbarra
71;NOTARIA UNICA CUMBAL;ESCRITURA;2018-04-11;2000000;20000;0;20000;Efecty
48;NOTARIA TERCERA;ESCRITURA;2018-04-03;26000000;468400;0;468400;Efecty
71;NOTARIA CUARTA;ESCRITURA;2018-04-03;5000000;50000;0;50000;Pago con codbarra
71;NOTARIA SEGUNDA;ESCRITURA;2018-04-10;114000000;1140000;0;1140000;Efecty
71;NOTARIA PRIMERA;ESCRITURA;2018-04-05;57800000;578000;0;578000;Pago con codbarra
165;NOTARIA CUARTA;ESCRITURA;2018-04-13;85500000;855000;0;855000;Efecty
71;NOTARIA TERCERA;ESCRITURA;2018-04-16;97000000;970000;0;970000;Pago con codbarra
71;NOTARIA CUARTA;ESCRITURA;2018-04-04;70000000;700000;0;700000;Pago con codbarra
71;NOTARIA SEGUNDA;ESCRITURA;2018-04-18;30000000;300000;0;300000;Efecty
71;NOTARIA TERCERA;ACTA;2018-04-18;8000000;80000;0;80000;Pago con codbarra
72;NOTARIA TERCERA;ESCRITURA;2018-04-23;28000000;280000;0;280000;Pago con codbarra
165;NOTARIA SEGUNDA;ESCRITURA;2018-04-02;2000000;20000;0;20000;Pago con codbarra
71;NOTARIA PRIMERA;ESCRITURA;2018-04-04;1000000;114200;0;114200;Efecty
71;NOTARIA CUARTA;ESCRITURA;2018-04-12;73000000;730000;0;730000;Pago con codbarra
72;NOTARIA SEGUNDA;ESCRITURA;2018-04-23;5000000;50000;0;50000;Pago con codbarra
38;NOTARIA TERCERA;ACTA;2018-04-23;0;104200;0;104200;Pago con codbarra
71;NOTARIA SEGUNDA;ESCRITURA;2018-04-13;1000000;114200;0;114200;Pago con codbarra
71;NOTARIA TERCERA;ESCRITURA;2018-04-23;61500000;615000;0;615000;Pago con codbarra
16;NOTARIA TERCERA;ESCRITURA;2018-04-05;68900000;897400;0;897400;Efecty
88;GOBERNACION;ACTA;2018-04-06;28000000;300200;0;300200;Efecty
38;NOTARIA TERCERA;ESCRITURA;2018-04-23;56000000;768300;0;768300;Efecty
71;NOTARIA CUARTA;ESCRITURA;2018-04-18;5000000;50000;0;50000;Efecty
71;NOTARIA SEGUNDA;ESCRITURA;2018-04-04;18000000;180000;0;180000;SAES
71;NOTARIA CUARTA;ESCRITURA;2018-04-06;44000000;440000;0;440000;Efecty
38;NOTARIA CUARTA;ESCRITURA;2018-04-20;140000000;1608300;0;1608300;SAES
63;NOTARIA TERCERA;ESCRITURA;2018-04-10;56000000;664200;0;664200;Pago con codbarra
38;NOTARIA TERCERA;ESCRITURA;2018-04-18;0;208300;0;208300;Pago con codbarra
71;NOTARIA TERCERA;ESCRITURA;2018-04-24;31000000;310000;0;310000;Pago con codbarra
71;NOTARIA CUARTA;ESCRITURA;2018-04-20;242422000;2424200;0;2424200;SAES
165;NOTARIA CUARTA;ESCRITURA;2018-04-18;129000000;1290000;0;1290000;SAES
1;NOTARIA TERCERA;ESCRITURA;2018-04-18;0;104200;0;104200;Pago con codbarra
325;NOTARIA PRIMERA;ESCRITURA;2018-04-26;221000000;2210000;0;2210000;Pago con codbarra
71;NOTARIA CUARTA;ESCRITURA;2018-04-30;22000000;220000;0;220000;Efecty
71;NOTARIA CUARTA;ESCRITURA;2018-04-06;53000000;738300;0;738300;Efecty
71;NOTARIA CUARTA;ESCRITURA;2018-04-27;112023000;1120200;0;1120200;Efecty
38;NOTARIA CUARTA;ESCRITURA;2018-04-13;0;104200;0;104200;Pago con codbarra
71;NOTARIA CUARTA;ESCRITURA;2018-04-11;186100000;1861000;0;1861000;Efecty
105;NOTARIA CUARTA;ESCRITURA;2018-04-09;0;104200;0;104200;Pago con codbarra
71;NOTARIA CUARTA;ESCRITURA;2018-04-02;65000000;650000;0;650000;Pago con codbarra
71;NOTARIA TERCERA;ESCRITURA;2018-04-03;41000000;410000;0;410000;Pago con codbarra
71;NOTARIA TERCERA;ESCRITURA;2018-04-06;12000000;120000;0;120000;Pago con codbarra
71;NOTARIA TERCERA;ESCRITURA;2018-04-04;70000000;700000;0;700000;Pago con codbarra
71;NOTARIA TERCERA;ACTA;2018-04-03;1400000;14000;0;14000;Pago con codbarra
38;NOTARIA PRIMERA;ESCRITURA;2018-04-02;0;104200;0;104200;Efecty
71;NOTARIA CUARTA;ESCRITURA;2018-04-02;193221890;1932200;0;1932200;SAES
71;NOTARIA CUARTA;ESCRITURA;2018-04-03;7000000;70000;0;70000;Efecty
1;NOTARIA CUARTA;ESCRITURA;2018-04-16;0;104200;0;104200;SAES
171;NOTARIA CUARTA;ESCRITURA;2018-04-27;52263506;522600;0;522600;Efecty
26;NOTARIA TERCERA;ESCRITURA;2018-04-30;0;208400;0;208400;Efecty
23;NOTARIA CUARTA;ESCRITURA;2018-04-11;0;312600;0;312600;Efecty
71;NOTARIA TERCERA;ACTA;2018-04-30;24000000;240000;0;240000;Efecty
71;NOTARIA PRIMERA;ESCRITURA;2018-04-30;132000000;1320000;0;1320000;Efecty
71;NOTARIA PRIMERA;ESCRITURA;2018-04-03;163200000;1632000;0;1632000;Pago con codbarra
71;NOTARIA CUARTA;ESCRITURA;2018-04-27;58264873;582600;0;582600;Pago con codbarra
71;NOTARIA PRIMERA;ESCRITURA;2018-04-04;39000000;390000;0;390000;Efecty
38;NOTARIA CUARTA;ESCRITURA;2018-04-17;0;104200;0;104200;Efecty
